"freq
References : ['S(1,1)','S(2,2)','S(2,1)']
Dependency : [freq]
Num. Points : [901]
Matrix Size : scalar
Type : Real","S(1,1)
References : []
Dependency : [freq]
Num. Points : [901]
Matrix Size : scalar
Type : Complex
Complex Format : Mag/Deg","S(2,2)
References : []
Dependency : [freq]
Num. Points : [901]
Matrix Size : scalar
Type : Complex
Complex Format : Mag/Deg","S(2,1)
References : []
Dependency : [freq]
Num. Points : [901]
Matrix Size : scalar
Type : Complex
Complex Format : Mag/Deg"
10.88 MHz,0.933 / -48.562 ,0.908 / 54.757 ,0.312 / 91.227 
10.89 MHz,0.933 / -48.682 ,0.907 / 54.509 ,0.314 / 91.036 
10.90 MHz,0.932 / -48.802 ,0.907 / 54.261 ,0.315 / 90.844 
10.91 MHz,0.931 / -48.922 ,0.906 / 54.013 ,0.317 / 90.652 
10.92 MHz,0.931 / -49.043 ,0.906 / 53.764 ,0.318 / 90.459 
10.93 MHz,0.930 / -49.165 ,0.905 / 53.514 ,0.320 / 90.265 
10.94 MHz,0.929 / -49.287 ,0.905 / 53.263 ,0.321 / 90.070 
10.95 MHz,0.929 / -49.410 ,0.904 / 53.012 ,0.323 / 89.875 
10.96 MHz,0.928 / -49.534 ,0.903 / 52.760 ,0.324 / 89.679 
10.97 MHz,0.927 / -49.658 ,0.903 / 52.508 ,0.326 / 89.483 
10.98 MHz,0.927 / -49.783 ,0.902 / 52.255 ,0.327 / 89.285 
10.99 MHz,0.926 / -49.908 ,0.902 / 52.001 ,0.329 / 89.087 
11.00 MHz,0.925 / -50.034 ,0.901 / 51.746 ,0.330 / 88.888 
11.01 MHz,0.925 / -50.161 ,0.900 / 51.491 ,0.332 / 88.689 
11.02 MHz,0.924 / -50.288 ,0.900 / 51.236 ,0.334 / 88.489 
11.03 MHz,0.923 / -50.417 ,0.899 / 50.979 ,0.335 / 88.288 
11.04 MHz,0.922 / -50.545 ,0.898 / 50.722 ,0.337 / 88.086 
11.05 MHz,0.922 / -50.675 ,0.898 / 50.464 ,0.338 / 87.883 
11.06 MHz,0.921 / -50.805 ,0.897 / 50.206 ,0.340 / 87.680 
11.07 MHz,0.920 / -50.936 ,0.896 / 49.947 ,0.342 / 87.476 
11.08 MHz,0.919 / -51.067 ,0.896 / 49.687 ,0.343 / 87.271 
11.09 MHz,0.919 / -51.199 ,0.895 / 49.426 ,0.345 / 87.066 
11.10 MHz,0.918 / -51.332 ,0.894 / 49.165 ,0.346 / 86.859 
11.11 MHz,0.917 / -51.466 ,0.893 / 48.903 ,0.348 / 86.652 
11.12 MHz,0.916 / -51.600 ,0.893 / 48.641 ,0.350 / 86.444 
11.13 MHz,0.916 / -51.736 ,0.892 / 48.378 ,0.351 / 86.235 
11.14 MHz,0.915 / -51.871 ,0.891 / 48.114 ,0.353 / 86.026 
11.15 MHz,0.914 / -52.008 ,0.891 / 47.849 ,0.355 / 85.815 
11.16 MHz,0.913 / -52.145 ,0.890 / 47.584 ,0.356 / 85.604 
11.17 MHz,0.912 / -52.283 ,0.889 / 47.317 ,0.358 / 85.392 
11.18 MHz,0.911 / -52.422 ,0.888 / 47.051 ,0.360 / 85.179 
11.19 MHz,0.910 / -52.562 ,0.887 / 46.783 ,0.362 / 84.966 
11.20 MHz,0.910 / -52.702 ,0.887 / 46.515 ,0.363 / 84.751 
11.21 MHz,0.909 / -52.843 ,0.886 / 46.246 ,0.365 / 84.536 
11.22 MHz,0.908 / -52.985 ,0.885 / 45.976 ,0.367 / 84.320 
11.23 MHz,0.907 / -53.128 ,0.884 / 45.706 ,0.369 / 84.103 
11.24 MHz,0.906 / -53.271 ,0.883 / 45.435 ,0.370 / 83.885 
11.25 MHz,0.905 / -53.415 ,0.883 / 45.163 ,0.372 / 83.666 
11.26 MHz,0.904 / -53.560 ,0.882 / 44.890 ,0.374 / 83.446 
11.27 MHz,0.903 / -53.706 ,0.881 / 44.617 ,0.376 / 83.226 
11.28 MHz,0.902 / -53.853 ,0.880 / 44.342 ,0.378 / 83.004 
11.29 MHz,0.901 / -54.001 ,0.879 / 44.068 ,0.379 / 82.782 
