freq	dB(S(2,2))
1.15400000000000014E7	-1.37028967956987646E0
1.15500000000000003E7	-1.38214146663874415E0
1.15599999999999992E7	-1.39414775379239164E0
1.15700000000000003E7	-1.40631094898905529E0
1.15799999999999992E7	-1.41863350267100619E0
1.15900000000000003E7	-1.43111790858210242E0
1.15999999999999992E7	-1.44376670460180723E0
1.16100000000000003E7	-1.45658247359613258E0
1.16200000000000014E7	-1.46956784428555798E0
1.16299999999999981E7	-1.48272549213098737E0
1.16400000000000015E7	-1.49605814023655981E0
1.16500000000000004E7	-1.50956856027157782E0
1.16599999999999993E7	-1.52325957341087759E0
1.16700000000000004E7	-1.53713405129372305E0
1.16799999999999993E7	-1.55119491700216083E0
1.16900000000000004E7	-1.56544514605944185E0
1.16999999999999993E7	-1.57988776744838932E0
1.17099999999999982E7	-1.59452586464985147E0
1.17200000000000015E7	-1.60936257670247906E0
1.17300000000000004E7	-1.62440109928416332E0
1.17399999999999993E7	-1.63964468581387113E0
1.17500000000000004E7	-1.65509664857782157E0
1.17599999999999993E7	-1.67076035987584559E0
1.17700000000000005E7	-1.68663925319306651E0
1.17799999999999994E7	-1.70273682439300789E0
1.17900000000000005E7	-1.71905663293658884E0
1.18000000000000016E7	-1.73560230312405639E0
1.18099999999999983E7	-1.75237752536270497E0
1.18199999999999994E7	-1.76938605746008326E0
1.18300000000000005E7	-1.78663172594208408E0
1.18399999999999994E7	-1.80411842739879358E0
1.18500000000000005E7	-1.82185012985639805E0
1.18599999999999994E7	-1.83983087417676927E0
1.18700000000000006E7	-1.85806477548518756E0
1.18799999999999994E7	-1.87655602462650339E0
1.18900000000000006E7	-1.89530888965002076E0
1.18999999999999995E7	-1.91432771732484275E0
1.19100000000000006E7	-1.93361693468467477E0
1.19199999999999995E7	-1.95318105060369662E0
1.19300000000000006E7	-1.97302465740431732E0
1.19400000000000017E7	-1.99315243249585849E0
1.19499999999999984E7	-2.01356914004678789E0
1.19599999999999995E7	-2.03427963268987044E0
1.19700000000000006E7	-2.05528885326158406E0
1.19799999999999995E7	-2.07660183657531050E0
1.19900000000000007E7	-2.09822371123010587E0
1.19999999999999996E7	-2.12015970145549693E0
1.20100000000000007E7	-2.14241512899331310E0
1.20199999999999996E7	-2.16499541501518644E0
1.20299999999999985E7	-2.18790608207967274E0
1.20400000000000018E7	-2.21115275612716644E0
1.20500000000000007E7	-2.23474116851500648E0
1.20599999999999996E7	-2.25867715809115355E0
1.20700000000000007E7	-2.28296667331137604E0
1.20799999999999996E7	-2.30761577439519661E0
1.20900000000000007E7	-2.33263063552738714E0
1.20999999999999996E7	-2.35801754709888645E0
1.21099999999999985E7	-2.38378291799730047E0
1.21200000000000019E7	-2.40993327793602097E0
1.21299999999999986E7	-2.43647527983514678E0
1.21399999999999997E7	-2.46341570224363515E0
1.21500000000000008E7	-2.49076145181372732E0
1.21599999999999997E7	-2.51851956582052328E0
1.21700000000000008E7	-2.54669721473165511E0
1.21799999999999997E7	-2.57530170482888909E0
1.21900000000000008E7	-2.60434048087758629E0
1.21999999999999997E7	-2.63382112885223130E0
1.22099999999999986E7	-2.66375137871041812E0
1.22199999999999998E7	-2.69413910722495364E0
1.22300000000000009E7	-2.72499234086919051E0
1.22399999999999998E7	-2.75631925875710415E0
1.22500000000000009E7	-2.78812819564194481E0
1.22599999999999998E7	-2.82042764497269349E0
1.22699999999999987E7	-2.85322626200789253E0
1.22799999999999998E7	-2.88653286699086298E0
1.22900000000000009E7	-2.92035644838531905E0
1.22999999999999998E7	-2.95470616617254489E0
1.23099999999999987E7	-2.98959135521051689E0
1.23199999999999998E7	-3.02502152865981966E0
1.23300000000000010E7	-3.06100638146979032E0
1.23399999999999999E7	-3.09755579393426572E0
1.23499999999999988E7	-3.13467983531141670E0
1.23599999999999999E7	-3.17238876751182275E0
1.23700000000000010E7	-3.21069304885467099E0
1.23799999999999999E7	-3.24960333789311173E0
1.23900000000000010E7	-3.28913049730831109E0
1.23999999999999999E7	-3.32928559787474265E0
1.24100000000000010E7	-3.37007992249543342E0
1.24199999999999999E7	-3.41152497031006163E0
1.24299999999999988E7	-3.45363246087171483E0
1.24400000000000022E7	-3.49641433839838811E0
1.24499999999999988E7	-3.53988277609375013E0
1.24600000000000000E7	-3.58405018054114777E0
1.24700000000000011E7	-3.62892919616747234E0
1.24800000000000000E7	-3.67453270977907875E0
1.24900000000000011E7	-3.72087385516415914E0
1.25000000000000000E7	-3.76796601776800788E0
1.25099999999999989E7	-3.81582283943142597E0
1.25200000000000000E7	-3.86445822319517784E0
1.25299999999999989E7	-3.91388633816478082E0
1.25400000000000000E7	-3.96412162443994420E0
1.25500000000000012E7	-4.01517879809215117E0
1.25599999999999978E7	-4.06707285619886605E0
1.25700000000000012E7	-4.11981908192278912E0
1.25800000000000001E7	-4.17343304962947226E0
1.25899999999999990E7	-4.22793063004063541E0
1.26000000000000001E7	-4.28332799541141718E0
1.26099999999999990E7	-4.33964162472462878E0
1.26200000000000001E7	-4.39688830888704629E0
1.26299999999999990E7	-4.45508515592363619E0
1.26400000000000001E7	-4.51424959614667287E0
1.26500000000000012E7	-4.57439938728786988E0
1.26600000000000001E7	-4.63555261957763776E0
1.26699999999999990E7	-4.69772772074270240E0
1.26800000000000002E7	-4.76094346090815890E0
1.26900000000000013E7	-4.82521895736739825E0
1.27000000000000002E7	-4.89057367919900443E0
1.27099999999999991E7	-4.95702745168241954E0
1.27200000000000002E7	-5.02460046048965481E0
1.27300000000000013E7	-5.09331325559456971E0
1.27400000000000002E7	-5.16318675485786294E0
1.27499999999999991E7	-5.23424224722237064E0
1.27600000000000002E7	-5.30650139546888511E0
1.27699999999999991E7	-5.37998623844355706E0
1.27800000000000002E7	-5.45471919268549410E0
1.27900000000000014E7	-5.53072305336366199E0
1.28000000000000003E7	-5.60802099441256807E0
1.28099999999999992E7	-5.68663656775313608E0
1.28199999999999981E7	-5.76659370147176720E0
1.28300000000000014E7	-5.84791669680709969E0
1.28400000000000003E7	-5.93063022377364213E0
1.28499999999999992E7	-6.01475931524221430E0
1.28600000000000003E7	-6.10032935926277364E0
1.28699999999999992E7	-6.18736608940188226E0
1.28800000000000003E7	-6.27589557280733423E0
1.28900000000000015E7	-6.36594419573020343E0
1.29000000000000004E7	-6.45753864614470796E0
1.29099999999999993E7	-6.55070589309734075E0
1.29199999999999982E7	-6.64547316236303498E0
1.29300000000000015E7	-6.74186790792227697E0
1.29400000000000004E7	-6.83991777873093554E0
1.29499999999999993E7	-6.93965058017605152E0
1.29599999999999982E7	-7.04109422953371755E0
1.29699999999999993E7	-7.14427670468228015E0
1.29800000000000004E7	-7.24922598520109496E0
1.29899999999999993E7	-7.35596998489579246E0
1.30000000000000004E7	-7.46453647468655479E0
1.30099999999999993E7	-7.57495299462880212E0
1.30200000000000005E7	-7.68724675371864663E0
1.30300000000000016E7	-7.80144451596305899E0
1.30400000000000005E7	-7.91757247099831307E0
1.30500000000000016E7	-8.03565608736251669E0
1.30599999999999983E7	-8.15571994625812735E0
1.30699999999999994E7	-8.27778755344520079E0
1.30800000000000027E7	-8.40188112656464980E0
1.30899999999999994E7	-8.52802135493939772E0
1.31000000000000005E7	-8.65622712852389675E0
1.31099999999999994E7	-8.78651523232602649E0
1.31199999999999983E7	-8.91890000221386714E0
1.31300000000000017E7	-9.05339293759126740E0
1.31400000000000006E7	-9.19000226595243319E0
1.31499999999999995E7	-9.32873245386733885E0
1.31600000000000006E7	-9.46958365838652405E0
1.31699999999999973E7	-9.61255111235799120E0
1.31800000000000006E7	-9.75762443663244206E0
1.31900000000000017E7	-9.90478687157636806E0
1.31999999999999984E7	-1.00540144198629178E1
1.32099999999999995E7	-1.02052748921126302E1
1.32199999999999984E7	-1.03585268466369618E1
1.32299999999999995E7	-1.05137184144183293E1
1.32400000000000007E7	-1.06707860005773858E1
1.32499999999999996E7	-1.08296528539966652E1
1.32600000000000007E7	-1.09902274976476200E1
1.32699999999999996E7	-1.11524020135703283E1
1.32800000000000007E7	-1.13160501786934020E1
1.32900000000000018E7	-1.14810254506716136E1
1.33000000000000007E7	-1.16471588072756349E1
1.33099999999999996E7	-1.18142564484034285E1
1.33199999999999985E7	-1.19820973772033179E1
1.33300000000000018E7	-1.21504308860516708E1
1.33400000000000007E7	-1.23189739846417989E1
1.33499999999999996E7	-1.24874088215540691E1
1.33599999999999985E7	-1.26553801672333410E1
1.33699999999999997E7	-1.28224930456595176E1
1.33800000000000008E7	-1.29883106236697077E1
1.33899999999999997E7	-1.31523524904087719E1
1.34000000000000008E7	-1.33140934837705172E1
1.34099999999999997E7	-1.34729632443053138E1
1.34199999999999986E7	-1.36283466977328382E1
1.34300000000000019E7	-1.37795856819583040E1
1.34400000000000008E7	-1.39259819396296347E1
1.34499999999999997E7	-1.40668016886481073E1
1.34599999999999986E7	-1.42012819562367221E1
1.34699999999999998E7	-1.43286388128994302E1
1.34800000000000009E7	-1.44480775681304086E1
